,accommodates,price,guests_included,extra_people
227,2,86.0,1,0.00
228,3,55.0,2,10.00
229,2,25.0,1,10.00
230,2,45.0,1,15.00
231,1,25.0,1,0.00
232,4,95.0,2,15.00
233,5,80.0,2,30.00
234,1,28.0,1,0.00
235,2,49.0,1,0.00
236,16,33.0,1,33.00
237,16,1150.0,1,22.00
238,2,40.0,1,0.00
239,2,52.0,2,15.00
240,3,50.0,2,25.00
241,2,34.0,1,0.00
242,2,42.0,1,0.00
243,4,75.0,2,5.00
244,4,96.0,1,15.00
245,2,56.0,1,0.00
246,2,99.0,1,80.00
247,6,44.0,1,42.00
248,2,87.0,1,0.00
249,2,100.0,1,0.00
250,2,39.0,1,5.00
251,3,91.0,1,0.00
252,3,28.0,1,20.00
253,1,36.0,1,0.00
254,2,60.0,1,0.00
255,2,40.0,1,0.00
256,2,50.0,2,45.00
257,10,50.0,1,49.00
258,1,24.0,1,15.00
259,2,53.0,1,0.00
260,2,69.0,1,0.00
261,6,500.0,1,0.00
262,2,62.0,1,0.00
263,2,75.0,1,0.00
264,2,69.0,1,0.00
265,2,75.0,1,0.00
266,2,75.0,1,5.00
267,1,29.0,1,0.00
268,4,120.0,4,30.00
269,10,275.0,5,30.00
270,5,80.0,2,10.00
271,2,60.0,2,0.00
272,2,38.0,1,0.00
273,2,75.0,1,0.00
274,2,45.0,1,0.00
275,2,50.0,1,0.00
276,1,30.0,1,0.00
277,4,171.0,1,0.00
278,6,36.0,1,25.00
279,3,40.0,2,10.00
280,2,46.0,1,35.00
281,2,43.0,1,0.00
282,2,33.0,1,10.00
283,2,20.0,1,10.00
284,3,58.0,2,20.00
285,1,35.0,1,0.00
286,2,24.0,1,12.00
287,5,79.0,1,0.00
288,1,38.0,1,5.00
289,2,30.0,1,0.00
290,2,93.0,1,0.00
291,2,70.0,1,0.00
292,2,48.0,1,0.00
293,4,50.0,2,0.00
294,4,50.0,2,10.00
295,2,60.0,2,45.00
296,4,50.0,3,10.00
297,5,80.0,2,20.00
298,13,350.0,1,0.00
299,3,70.0,3,25.00
300,2,70.0,2,25.00
301,16,400.0,1,0.00
302,2,75.0,1,0.00
303,2,60.0,1,0.00
304,2,54.0,1,0.00
305,2,98.0,1,0.00
306,4,140.0,4,30.00
307,2,85.0,1,0.00
308,2,79.0,1,0.00
309,2,72.0,1,0.00
310,2,69.0,1,0.00
311,2,100.0,2,35.00
312,1,25.0,1,0.00
313,2,65.0,1,0.00
314,2,65.0,1,0.00
315,5,130.0,4,20.00
316,1,20.0,1,0.00
317,2,65.0,1,0.00
318,2,72.0,1,0.00
319,2,44.0,1,0.00
320,8,210.0,1,10.00
321,4,95.0,1,0.00
322,2,75.0,1,0.00
323,3,80.0,1,0.00
324,4,50.0,1,17.00
325,4,64.0,2,10.00
326,2,109.0,1,0.00
327,2,15.0,1,0.00
328,2,70.0,1,0.00
329,2,52.0,1,4.00
330,2,63.0,2,10.00
331,2,50.0,1,0.00
332,2,105.0,1,0.00
333,4,60.0,1,0.00
334,2,80.0,1,0.00
335,8,298.0,4,30.00
336,6,225.0,1,10.00
337,1,35.0,1,0.00
338,1,25.0,1,0.00
339,2,70.0,1,0.00
340,6,95.0,4,25.00
341,2,25.0,1,0.00
342,4,100.0,1,0.00
343,3,30.0,1,0.00
344,2,39.0,1,0.00
345,4,100.0,2,20.00
346,4,62.0,2,15.00
347,3,34.0,1,14.00
348,2,34.0,1,14.00
349,4,90.0,1,0.00
350,3,34.0,1,10.00
351,2,55.0,2,20.00
352,16,44.0,1,33.00
353,16,60.0,1,55.00
354,2,70.0,1,0.00
355,4,28.0,1,10.00
356,4,34.0,1,15.00
357,2,36.0,1,12.00
358,6,159.0,6,25.00
359,2,75.0,1,0.00
360,3,45.0,2,10.00
361,4,80.0,2,40.00
362,2,65.0,1,0.00
363,6,160.0,1,0.00
364,4,49.0,2,12.00
365,2,25.0,1,25.00
366,3,120.0,1,0.00
367,4,75.0,2,20.00
368,4,70.0,1,0.00
369,2,29.0,1,0.00
370,6,159.0,2,0.00
371,2,130.0,1,0.00
372,2,48.0,1,15.00
373,6,129.0,1,0.00
374,7,110.0,2,10.00
375,2,50.0,1,0.00
376,2,60.0,1,20.00
377,3,60.0,1,20.00
378,4,150.0,1,0.00
379,6,85.0,2,35.00
380,6,155.0,6,25.00
381,2,40.0,2,10.00
382,16,39.0,1,38.00
383,4,160.0,1,0.00
384,3,30.0,1,20.00
385,4,59.0,2,30.00
386,1,68.0,1,0.00
387,5,60.0,1,15.00
388,4,60.0,1,15.00
389,4,85.0,4,15.00
390,4,81.0,4,15.00
391,4,49.0,2,15.00
392,4,83.0,4,15.00
393,4,81.0,1,0.00
394,4,70.0,1,0.00
395,2,72.0,1,0.00
396,2,63.0,1,0.00
397,4,65.0,2,25.00
398,2,26.0,1,10.00
399,5,60.0,1,15.00
400,2,89.0,2,30.00
401,3,42.0,2,16.00
402,4,94.0,1,60.00
403,2,75.0,1,0.00
404,2,35.0,1,0.00
405,2,29.0,1,10.00
406,4,80.0,4,30.00
407,4,95.0,1,20.00
408,16,380.0,1,45.00
409,2,40.0,1,0.00
410,3,70.0,1,0.00
411,2,100.0,1,0.00
412,2,60.0,1,0.00
413,2,100.0,1,0.00
414,3,90.0,1,0.00
415,8,108.0,6,20.00
416,2,25.0,1,15.00
417,3,35.0,2,20.00
418,4,180.0,1,0.00
419,2,48.0,1,0.00
420,2,60.0,1,0.00
421,2,99.0,1,0.00
422,5,140.0,2,25.00
423,2,50.0,1,0.00
424,2,45.0,1,0.00
425,2,125.0,4,30.00
426,2,119.0,1,0.00
427,2,110.0,1,0.00
428,2,55.0,1,0.00
429,3,60.0,1,0.00
430,4,79.0,3,25.00
431,4,89.0,2,45.00
432,4,99.0,2,0.00
433,4,65.0,1,0.00
434,3,45.0,1,0.00
435,2,33.0,1,0.00
436,2,44.0,1,0.00
437,6,79.0,2,15.00
438,2,75.0,2,0.00
439,2,85.0,4,0.00
440,4,95.0,2,10.00
441,4,150.0,2,10.00
442,3,40.0,1,0.00
443,2,99.0,1,10.00
444,3,70.0,1,0.00
445,4,60.0,1,15.00
446,3,68.0,1,0.00
447,4,150.0,2,10.00
448,2,79.0,1,0.00
449,4,55.0,1,15.00
450,4,59.0,1,15.00
451,6,99.0,2,25.00
452,4,89.0,2,30.00
453,1,17.0,1,25.00
454,2,28.0,1,0.00
455,4,59.0,1,10.00
456,4,96.0,1,0.00
457,2,85.0,1,0.00
458,2,89.0,1,0.00
459,2,60.0,1,0.00
460,2,60.0,1,0.00
461,2,169.0,1,0.00
462,4,199.0,2,50.00
463,6,95.0,2,7.00
464,2,65.0,1,0.00
465,1,19.0,1,0.00
466,2,65.0,1,0.00
467,3,45.0,2,10.00
468,2,61.0,1,0.00
469,8,69.0,1,16.00
470,2,75.0,1,0.00
471,2,175.0,1,0.00
472,2,65.0,2,10.00
473,5,100.0,4,50.00
474,4,260.0,1,0.00
475,2,65.0,1,0.00
476,5,73.0,1,0.00
477,3,75.0,2,35.00
478,5,46.0,2,15.00
479,2,45.0,1,10.00
480,2,90.0,2,0.00
481,2,85.0,1,0.00
482,5,125.0,1,0.00
483,2,45.0,1,0.00
484,1,20.0,1,0.00
485,2,65.0,1,0.00
486,2,28.0,1,0.00
487,2,45.0,1,10.00
488,2,35.0,1,0.00
489,3,75.0,2,15.00
490,4,75.0,2,10.00
491,4,80.0,1,0.00
492,2,39.0,1,0.00
493,2,74.0,1,0.00
494,2,60.0,1,0.00
495,2,69.0,1,0.00
496,2,60.0,1,0.00
497,4,100.0,1,0.00
498,2,55.0,1,4.00
499,4,100.0,1,0.00
500,2,50.0,1,0.00
501,5,185.0,5,0.00
502,2,50.0,1,0.00
503,4,59.0,2,10.00
504,3,55.0,2,10.00
505,2,34.0,1,0.00
506,2,50.0,1,9.00
507,3,46.0,1,0.00
508,2,45.0,1,0.00
509,2,35.0,1,0.00
510,2,35.0,1,0.00
511,2,20.0,1,15.00
512,4,109.0,4,20.00
513,2,53.0,1,0.00
514,4,75.0,1,0.00
515,2,16.0,1,0.00
516,6,70.0,2,30.00
517,4,26.0,1,30.00
518,2,43.0,2,10.00
519,4,129.0,2,20.00
520,2,45.0,1,0.00
521,4,150.0,1,0.00
522,3,47.0,2,10.00
523,6,115.0,4,16.00
524,6,59.0,2,30.00
