,host_response_time,host_response_rate,host_is_superhost,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,amenities_%
46,1,100,0,51.2229,4.4184,4,1.0,2,2.0,90.00,96.0,1,0,0,0,0,0,0,0,1,42.857142857142854
47,3,50,0,51.207,4.42702,2,0.0,1,1.0,179.00,73.0,1,0,0,0,0,0,0,0,1,28.57142857142857
48,1,100,1,51.21432,4.413209999999999,2,1.0,1,1.0,45.00,97.0,0,0,1,0,0,0,0,0,1,35.714285714285715
49,1,100,0,51.224759999999996,4.40581,2,1.5,1,1.0,70.00,80.0,1,0,0,0,0,0,0,0,1,21.428571428571427
50,3,90,1,51.22875,4.40254,16,2.0,1,16.0,40.00,90.0,0,0,1,0,0,0,0,0,1,35.714285714285715
51,2,89,0,51.197959999999995,4.45632,3,1.0,2,3.0,60.00,93.0,0,0,1,0,0,0,0,0,1,35.714285714285715
52,1,100,1,51.213879999999996,4.41573,4,1.0,2,3.0,90.00,95.0,1,0,0,0,0,0,0,0,1,28.57142857142857
53,2,100,1,51.21205,4.41315,2,1.0,1,1.0,80.00,93.0,1,0,0,0,0,0,0,0,1,28.57142857142857
54,1,100,0,51.20794,4.42839,3,1.0,2,2.0,50.00,93.0,1,0,0,0,0,0,0,0,1,42.857142857142854
55,2,100,0,51.21692,4.42749,12,3.0,4,8.0,100.00,94.0,0,0,1,0,0,0,0,0,1,42.857142857142854
56,0,0,0,51.23229,4.45124,8,1.0,2,4.0,35.00,92.0,0,0,1,0,0,0,1,0,0,57.14285714285714
57,3,83,0,51.22105,4.42809,4,1.0,2,2.0,65.00,97.0,1,0,0,0,0,0,0,0,1,28.57142857142857
58,1,100,1,51.22337,4.4692300000000005,2,1.5,1,1.0,35.00,97.0,0,0,1,0,0,0,0,0,1,42.857142857142854
